TYPE,TEETH OF GEAR,QTY,UNIT,Dia /size,DP/ B.SIZE,Pitch dia(in inch),Module,STORAGE LOCATION RACK AND SLOT NO,UNIQUE ID,
GEAR,25,2,Nos,155,4,6,6,,GEAR--25--155--4,
GEAR,25,2,Nos,125,5,5,5,,GEAR--25--125--5,
GEAR,40,7,Nos,210,5,8,5,,GEAR--40--210--5,
GEAR,45,8,Nos,240,5,9,5,,GEAR--45--240--5,
GEAR,51,1,Nos,270,5,11,5,,GEAR--51--270--5,
GEAR,35,2,Nos,190,5,7,5,,GEAR--35--190--5,
GEAR,36,1,Nos,250,4,10,7,,GEAR--36--250--4,
GEAR,30,2,Nos,185,4,7,6,,GEAR--30--185--4,
GEAR,30,1,Nos,160,5,6,5,,GEAR--30--160--5,
GEAR,55,2,Nos,345,4,14,6,,GEAR--55--345--4,
GEAR,55,1,Nos,275,5,11,5,,GEAR--55--275--5,
GEAR,50,1,Nos,315,4,12,6,,GEAR--50--315--4,
GEAR,50,1,Nos,260,5,10,5,,GEAR--50--260--5,
GEAR,75,1,Nos,470,4,19,6,,GEAR--75--470--4,
GEAR,70,1,Nos,440,4,17,6,,GEAR--70--440--4,
GEAR,70,1,Nos,370,5,15,5,,GEAR--70--370--5,
GEAR,60,1,Nos,320,5,13,5,,GEAR--60--320--5,
GEAR,65,1,Nos,410,4,16,6,,GEAR--65--410--4,
GEAR,75,1,Nos,390,5,15,5,,GEAR--75--390--5,
GEAR,75,1,Nos,470,4,19,6,,GEAR--75--470--4,
GEAR,80,1,Nos,420,5,17,5,,GEAR--80--420--5,
GEAR,95,1,Nos,490,5,19,5,,GEAR--95--490--5,
GEAR,42,1,Nos,265,4,10,6,,GEAR--42--265--4,
GEAR,65,1,NOS,330,5,13,5,,GEAR--65--330--5,
GEAR,58,1,NOS,380,4,15,7,,GEAR--58--380--4,
GEAR,75,1,NOS,390,5,15,5,,GEAR--75--390--5,
GEAR,70,1,NOS,370,5,15,5,,GEAR--70--370--5,
GEAR,64,1,NOS,420,4,17,7,,GEAR--64--420--4,
GEAR,62,1,NOS,410,4,16,7,,GEAR--62--410--4,
GEAR,95,1,NOS,410,6,16,4,,GEAR--95--410--6,
GEAR,48,1,NOS,340,4,13,7,,GEAR--48--340--4,
